2026-09-06 12:46:48 | INFO | httpx | HTTP Request: GET http://testserver/api/dashboard "HTTP/1.1 200 OK"
2026-09-06 12:46:48 | INFO | httpx | HTTP Request: GET http://testserver/api/analytics/sentiment "HTTP/1.1 200 OK"
2026-09-06 12:46:48 | INFO | httpx | HTTP Request: GET http://testserver/api/analytics/trends "HTTP/1.1 200 OK"
2026-09-06 12:46:48 | INFO | httpx | HTTP Request: GET http://testserver/api/analytics/categories "HTTP/1.1 200 OK"
2026-09-06 12:46:48 | INFO | httpx | HTTP Request: GET http://testserver/api/analytics/emotions "HTTP/1.1 200 OK"
2026-09-06 12:46:48 | INFO | httpx | HTTP Request: GET http://testserver/api/analytics/departments "HTTP/1.1 200 OK"
2026-09-06 12:46:48 | INFO | httpx | HTTP Request: GET http://testserver/api/analytics/products "HTTP/1.1 200 OK"
2026-09-06 12:46:48 | INFO | httpx | HTTP Request: GET http://testserver/api/insights "HTTP/1.1 200 OK"
2026-09-06 12:46:49 | INFO | httpx | HTTP Request: GET http://testserver/api/alerts "HTTP/1.1 200 OK"
2026-09-06 12:46:49 | INFO | httpx | HTTP Request: POST http://testserver/api/upload "HTTP/1.1 400 Bad Request"
2026-09-06 12:46:49 | INFO | httpx | HTTP Request: POST http://testserver/api/upload "HTTP/1.1 200 OK"
2026-09-06 12:46:49 | INFO | httpx | HTTP Request: POST http://testserver/api/import "HTTP/1.1 200 OK"
2026-09-06 12:46:49 | INFO | httpx | HTTP Request: GET http://testserver/api/export/csv "HTTP/1.1 200 OK"
2026-09-06 12:46:49 | INFO | httpx | HTTP Request: GET http://testserver/api/export/json "HTTP/1.1 200 OK"
2026-09-06 12:46:49 | INFO | httpx | HTTP Request: POST http://testserver/api/feedback "HTTP/1.1 422 Unprocessable Entity"
2026-09-06 12:46:49 | INFO | insightai.ml.registry | Loaded model sentiment
2026-09-06 12:46:49 | INFO | insightai.ml.registry | Loaded model emotion
2026-09-06 12:46:49 | INFO | insightai.ml.registry | Loaded model category
2026-09-06 12:46:49 | INFO | insightai.ml.registry | Loaded model intent
2026-09-06 12:46:49 | INFO | insightai.ml.trainer | Existing models loaded; training skipped.
2026-09-06 12:47:09 | INFO | insightai | Starting InsightAI
2026-09-06 12:47:09 | INFO | insightai.seed | Seed import complete training=706 dummy=2207 created=0
2026-09-06 12:47:09 | INFO | insightai.ml.registry | Loaded model sentiment
2026-09-06 12:47:09 | INFO | insightai.ml.registry | Loaded model emotion
2026-09-06 12:47:09 | INFO | insightai.ml.registry | Loaded model category
2026-09-06 12:47:09 | INFO | insightai.ml.registry | Loaded model intent
2026-09-06 12:47:09 | INFO | insightai.ml.trainer | Existing models loaded; training skipped.
2026-09-06 12:47:10 | INFO | insightai | InsightAI startup complete
2026-09-06 12:53:26 | INFO | insightai.ml.registry | Loaded model sentiment
2026-09-06 12:53:26 | INFO | insightai.ml.registry | Loaded model emotion
2026-09-06 12:53:26 | INFO | insightai.ml.registry | Loaded model category
2026-09-06 12:53:26 | INFO | insightai.ml.registry | Loaded model intent
